Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2006;NA;NA;21.494.003;9.650.263;31.144.265;141.709.870;NA;NA;NA;NA;25.085.637;NA;166.795.507;NA;NA%;NA%;18,67%;NA%;49,98%
BB;49906;b1;;C;1;BRASILIA;DF;06/2006;NA;NA;19.138.440;9.465.910;28.604.350;153.172.729;NA;NA;NA;NA;12.328.398;NA;165.501.127;NA;NA%;NA%;17,28%;NA%;16,13%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2006;NA;NA;20.018.346;2.862.731;22.881.077;110.784.345;NA;NA;NA;NA;31.690.487;NA;142.474.832;NA;NA%;NA%;16,06%;NA%;37,79%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2006;NA;NA;18.611.096;9.391.877;28.002.973;124.878.253;NA;NA;NA;NA;1.162.320;NA;126.040.573;NA;NA%;NA%;22,22%;NA%;59,32%
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2006;NA;NA;9.870.452;2.583.496;12.453.948;71.736.350;NA;NA;NA;NA;11.231.911;NA;82.968.261;NA;NA%;NA%;15,01%;NA%;48,37%
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2006;NA;NA;6.952.387;2.590.944;9.543.331;59.404.329;NA;NA;NA;NA;10.703.659;NA;70.107.988;NA;NA%;NA%;13,61%;NA%;17,99%
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2006;NA;NA;9.525.645;124.299;9.649.944;62.205.446;NA;NA;NA;NA;4.707.492;NA;66.912.937;NA;NA%;NA%;14,42%;NA%;23,31%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2006;NA;NA;7.732.187;4.027.778;11.759.965;43.967.347;NA;NA;NA;NA;1.756.471;NA;45.723.819;NA;NA%;NA%;25,72%;NA%;17,90%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2006;NA;NA;4.187.324;0;4.187.324;30.129.575;NA;NA;NA;NA;3.339.040;NA;33.468.616;NA;NA%;NA%;12,51%;NA%;14,98%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2006;NA;NA;4.795.956;0;4.795.956;25.746.565;NA;NA;NA;NA;4.771.044;NA;30.517.609;NA;NA%;NA%;15,72%;NA%;1,54%
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2006;NA;NA;3.739.052;460.989;4.200.042;28.438.537;NA;NA;NA;NA;1.647.213;NA;30.085.749;NA;NA%;NA%;13,96%;NA%;38,36%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2006;NA;NA;2.996.474;441.232;3.437.706;14.844.975;NA;NA;NA;NA;9.350.253;NA;24.195.229;NA;NA%;NA%;14,21%;NA%;17,80%
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2006;NA;NA;2.259.661;187.828;2.447.489;14.286.773;NA;NA;NA;NA;1.357.851;NA;15.644.624;NA;NA%;NA%;15,64%;NA%;25,65%
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2006;NA;NA;2.462.886;32.329;2.495.215;8.134.434;NA;NA;NA;NA;1.901.768;NA;10.036.202;NA;NA%;NA%;24,86%;NA%;21,04%
