Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;03/2023;30.291.964;0;23.515.128;333.545;0;1.899.238;56.039.875;-39.868.916;-1.550.233;0;-473.202;-4.083.411;-45.975.762;10.064.113;3.093.523;1.980.130;-5.422.014;-3.046.831;-1.186.960;3.545.618;5.225.997;-4.036.570;152.892;10.217.006;42.935;10.259.941;-1.096.643;-1.046.398;8.116.900;0
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2023;24.040.738;629;19.662.815;1.178.965;0;2.395.417;47.278.564;-32.267.678;-1.851.529;-553;-441.940;-8.124.663;-42.686.363;4.592.201;2.929.924;2.293.085;-4.584.034;-4.630.335;-1.075.350;2.956.575;4.144.068;-4.077.800;-2.043.867;2.548.334;3.418;2.551.752;1.728.552;0;4.280.304;0
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;03/2023;29.375.501;0;14.261.216;-713.541;0;2.458.404;45.381.579;-23.944.739;-7.591.472;0;-19.770;-4.991.070;-36.547.050;8.834.529;3.987.741;1.291.974;-6.762.677;-2.721.688;-967.710;1.009.347;2.300.404;-6.118.093;-7.980.704;853.825;-86.936;766.889;1.371.496;-299.154;1.839.232;0
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;03/2023;18.622.905;0;24.465.312;-1.911.222;0;3.006.518;44.183.513;-32.320.686;-479.765;0;-377.180;-4.079.080;-37.256.712;6.926.802;2.159.796;1.834.766;-3.179.606;-4.138.033;-957.270;3.407.147;7.893.341;-3.037.610;3.982.532;10.909.334;68.043;10.977.377;295.306;-4.590.070;6.682.613;0
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;2;8;SAO PAULO;SP;03/2023;13.055.249;10;9.814.086;-2.619.157;1.745.069;2.200.591;24.195.848;-17.433.276;-980.498;-10;0;-10.018.694;-28.432.478;-4.236.630;2.600.778;1.130.114;-1.637.500;-3.065.510;-718.037;2.497.196;7.705.061;-4.738.171;3.773.931;-462.699;45.939;-416.760;2.929.072;-446.683;2.065.629;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2023;11.523.779;0;2.368.135;-1.977.253;40.896;0;11.955.557;-1.838.051;-8.643.852;0;0;2.282.768;-8.199.135;3.756.422;107.861;0;-327.600;-65.582;-173.680;2.761.617;666.708;-684.568;2.284.757;6.041.179;386;6.041.565;-2.078.878;0;3.962.687;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;03/2023;3.006.562;1.303;4.360.380;-644.708;28.182;341.070;7.092.788;-5.728.208;-217.906;-1.326;0;-690.660;-6.638.101;454.687;329.625;77.470;-595.723;-530.400;-113.536;463.150;1.729.584;-1.475.258;-115.088;339.599;6.519;346.118;229.566;0;575.684;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2023;1.717.461;0;1.925.875;1.644.170;1.161.198;348.472;6.797.176;-4.516.038;-826.180;0;0;-123.830;-5.466.048;1.331.128;611.827;60.919;-307.309;-881.897;-112.199;1.206.229;937.191;-182.020;1.332.743;2.663.870;174;2.664.044;-318.094;-212.727;2.133.223;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;03/2023;5.152.059;51.947;455.187;290.953;0;0;5.950.146;-3.048.058;-218.341;-49.780;-865;-3.112.514;-6.429.559;-479.413;2.143.824;427.409;-112.559;-1.296.908;-387.776;8.059.135;551.592;-2.076.549;7.308.168;6.828.755;-6.460;6.822.295;984.280;-34.057;7.772.518;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NU PAGAMENTOS - PRUDENCIAL;52058;84693;n1;2;14;SAO PAULO;SP;03/2023;3.913.206;0;876.737;-5.337;0;597.525;5.382.131;-2.102.824;0;0;-339;-1.996.710;-4.099.874;1.282.257;0;0;-169.773;-301.790;-177.165;9.736;650.188;-124.386;-113.192;1.169.065;0;1.169.065;-466.225;0;702.841;0
