Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Resultado de Intermediação Financeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Resultado com Transações de Pagamento;;;;Outras Receitas / Despesas;;;;;;;;;;;Resultado antes da Tributação e Participações (x) = (k) + (l) + (w);Imposto de Renda e Contribuição Social (y);Participações no Lucro (z);Lucro Líquido (aa) = (x) + (y) + (z);
;;;;;;;;;;;;Rendas de Aplicações Interfinanceiras de Liquidez;;;;Rendas de Títulos e Valores Mobiliários;;;;;Rendas de Operações de Crédito;;;;;Rendas de Arrendamento Financeiro (d);Rendas de Outras Operações com Características de Concessão de Crédito (e);Resultado com Perda Esperada;;;;;;;Despesas de Captações;;;;;Despesas de Instrumentos de Dívida Elegíveis a Capital (h);Resultado com Derivativos (i);Outros Resultados de Intermediação Financeira (j);Resultado de Intermediação Financeira (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);Resultado com Serviços por Transações de Pagamento (l1);Resultados de Perda Esperada com Transações de Pagamento (l2);Outros Resultados com Transações de Pagamento (l3);Resultado com Transações de Pagamento (l);Rendas de Tarifas Bancárias (m);Outras Rendas de Prestação de Serviços (n);Despesas de Pessoal (o);Despesas Administrativas (p);Resultado com Perdas Esperadas de Outras Operações (q);Despesas de Juros Sobre Capital Próprio de Cooperativas (r);Despesas Tributárias (s);Resultado de Participações (t);Outras Receitas (u);Outras Despesas (v);Outras Receitas / Despesas (w)= (m) + (n) + (o) +  (p) + (q) + (r) + (s) + (t) + (u) + (v);;;;;
;;;;;;;;;;;;Receita de Juros com Aplicações Interfinanceiras de Liquidez (a1);Ajuste de Variação Cambial de Aplicações Interfinanceiras de Liquidez (a2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Aplicações Interfinanceiras de Liquidez (a3);Rendas de Aplicações Interfinanceiras de Liquidez (a);Receita de Juros com TVM (b1);Ajuste de Variação Cambial de TVM (b2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de TVM (b3);Outros Resultados de TVM (b4);Rendas de Títulos e Valores Mobiliários (b);Receita de Juros com Operações de Crédito (c1);Ajuste de Variação Cambial de Operações de Crédito (c2);Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito (c3);Outros Resultados de Operações de Crédito (c4);Rendas de Operações de Crédito (c);;;Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez (f1);Resultado com Perda Esperada de TVM (f2);Resultado com Perda Esperada de Operações de Crédito (f3);Resultado com Perda Esperada de Arrendamento (f4);Resultado com Perda Esperada de Outras Operações com Características de Concessão de Crédito(f5);Resultado com Perda Esperada de Outros Ativos Geradores de Renda (f6);Resultado com Perda Esperada (f);Despesa de Juros com Captações (g1);Ajuste de Variação Cambial de Captações (g2);Ajuste de Hedge de Valor Justo de Captações (g3);Outros Resultados de Captações (g4);Despesas de Captações (g);;;;;;;;;;;;;;;;;;;;;;;;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;03/2025;2.321.394.441;335.848;-2.458.770;0;-2.122.922;15.920.453;3.506;79.041;89.030;16.092.030;34.125.893;-2.526.938;1.256;1.011.084;32.611.295;0;2.191.588;1.276;-184.863;-11.565.029;0;184;-384.082;-12.132.513;-36.121.897;6.524.791;0;-235.271;-29.832.377;0;-1.139.298;1.531.916;7.199.719;440.075;618.627;11.537;1.070.239;1.495.910;2.597.244;-6.236.891;-3.696.207;146.906;0;-1.543.954;3.133.514;8.353.548;-6.695.821;-2.445.751;5.824.206;1.840.094;-865.458;6.798.842
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;03/2025;2.089.005.026;5.102.616;0;0;5.102.616;9.109.784;0;1.396.953;-662.606;9.844.131;33.463.102;-19;301.660;1.448.343;35.213.086;0;-206.844;7.316;-112.799;-2.107.357;0;-15.516;34.599;-2.193.757;-35.761.392;0;0;-333.173;-36.094.565;0;-910.669;364.659;11.118.657;126.096;0;0;126.096;1.289.181;3.405.468;-7.352.257;-3.276.688;101.171;0;-1.023.957;2.039.108;6.273.402;-6.084.685;-4.629.257;6.615.496;-493.768;-734.020;5.387.708
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;03/2025;1.936.563.042;4.314.607;0;0;4.314.607;13.789.313;5.362.870;3.240.094;1.659.899;24.052.177;20.092.309;-1.514.051;0;2.762;18.581.020;0;161.608;924;1.580.308;-4.250.798;0;-1.825.114;232.504;-4.262.176;-33.349.676;7.634.438;0;-261.014;-25.976.252;0;-3.357.320;921.910;14.435.573;354.307;-4.250;174.766;524.823;1.474.430;1.458.101;-3.444.639;-5.062.864;70.756;0;-1.388.170;1.014.083;11.286.848;-4.329.774;1.078.771;16.039.167;-1.255.629;-5.915.260;8.868.279
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;03/2025;1.622.600.238;3.747.560;0;0;3.747.560;5.818.996;-464.345;690.903;443.514;6.489.069;22.444.956;0;0;707.090;23.152.046;0;1.419.303;187.829;6.168.675;-6.693.316;0;-5.911.109;16.171;-6.231.750;-25.128.650;22.958;0;-302.803;-25.408.495;-1.963.051;1.059.707;1.482.086;3.746.474;1.647.233;-29.396;0;1.617.836;1.572.500;1.588.307;-5.310.986;-4.613.250;-450.979;0;-1.356.390;1.628.881;10.994.994;-5.066.955;-1.013.878;4.350.433;1.451.650;0;5.802.082
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;03/2025;1.165.249.221;3.672.748;0;-1.128.506;2.544.242;7.708.424;4.589.693;2.102.071;-1.121.418;13.278.769;14.152.031;1.394.826;0;-11.231;15.535.626;0;1.106.861;0;135.600;-5.290.775;0;-126.751;86.084;-5.195.841;-19.433.231;-1.133.536;5.744;-154.736;-20.715.759;0;-2.272.922;3.428.294;7.709.270;1.369.085;-118.676;684.950;1.935.359;1.133.304;1.599.787;-1.678.857;-3.770.152;386.672;0;-1.159.295;-1.704.494;4.791.829;-5.671.678;-6.072.884;3.571.745;755.853;-509.553;3.818.044
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;03/2025;857.686.345;473.947;-106.822;0;367.125;3.348.817;-470.244;881.766;44.245;3.804.583;6.958.587;-1.387.905;206.422;154.849;5.931.953;0;1.463.371;0;73.040;1.882.165;0;-10.288;90.202;2.035.119;-13.007.418;5.313.711;0;0;-7.693.708;0;-2.038.711;-2.976.778;892.955;0;0;0;0;0;259.208;-329.323;-63.847;806;0;-172.818;1.390.722;7.209.692;-1.036.115;7.258.324;8.151.279;-2.533.470;0;5.617.809
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;03/2025;447.683.119;1.500.456;0;-106.695;1.393.760;1.617.468;0;1.116.203;-2.351.848;381.823;795.544;0;36.007;27.945;859.497;3.068;1.155.651;179;-12.044;-67.996;0;13.103;0;-66.758;-6.577.857;0;-198.934;-44.902;-6.821.693;-636.198;3.335.851;22.565;-372.433;15.083;0;0;15.083;766;546.469;-342.132;-1.094.237;-119.240;0;-119.085;2.760.763;2.957.104;-206.460;4.383.947;4.026.596;-521.996;-294.678;3.209.922
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;03/2025;439.827.919;699.980;0;0;699.980;418.327;0;0;28.078;446.405;5.549.860;253;0;9.888;5.560.001;1.642;0;0;0;-3.131.631;-25;-160.738;-7.028;-3.299.422;-3.671.331;0;0;-72;-3.671.402;0;637.992;-277.339;97.856;2.272.748;0;-35.208;2.237.539;20.941;428.906;-176.880;-1.594.898;-4.774;0;-527.475;10.007.745;1.053.198;-1.086.219;8.120.544;10.455.939;567.834;-147.559;10.876.213
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;03/2025;236.982.007;1.539.698;0;-376.466;1.163.232;1.446.602;2.192;897.893;-596.725;1.749.963;4.437.709;55;-2.288.843;109.744;2.258.666;92;673.965;0;5.715;-316.045;0;-254.770;158.843;-406.257;-4.448.547;243.768;-24.038;-21.325;-4.250.143;-369.386;-1.766.307;338.736;-607.440;64.914;0;255.132;320.046;61.670;166.294;-612.762;-527.175;51.972;0;-106.735;859.764;1.865.649;-491.092;1.267.584;980.191;10.576;0;990.767
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;03/2025;203.689.557;426.726;0;3.563;430.288;1.222.282;-2.400;-12.519;18.598;1.225.961;908.159;-104.474;0;-2.718;800.966;0;53.372;-33.925;-8.232;-55.213;0;308;-100.223;-197.286;-3.844.165;229.443;-66.093;-32.664;-3.713.479;-102.908;-227.799;132.699;-1.598.185;-171.426;161;87.392;-83.874;1.244;21.944;-28.956;-487.402;-1.007;0;-47.565;6.586;2.139.409;-22.774;1.581.479;-100.579;56.623;-1.264;-45.220
