Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2023;1.999.663.172;883.733.163;1.842.462.888;1.612.558.695;157.200.285;16.444.357;3.985;674
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2023;1.762.131.021;412.609.323;1.624.497.098;1.427.995.160;137.633.923;14.310.657;2.421;1.004
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2023;1.722.819.486;1.061.636.643;1.635.803.456;1.445.903.540;87.016.030;4.217.933;3.372;889
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2023;1.529.821.990;520.427.360;1.370.504.476;1.163.527.402;159.317.515;8.797.537;2.796;1.209
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2023;1.030.492.597;346.135.412;946.501.698;766.486.173;83.990.899;4.183.024;2.557;1.576
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2023;710.263.339;272.550.994;569.640.166;153.068.867;140.623.173;9.503.166;5;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2023;354.244.556;146.737.628;183.667.167;79.022.431;170.577.389;16.365.158;2;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2023;347.114.513;40.352.365;300.406.037;248.950.485;46.708.475;4.574.469;25;0
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2023;245.089.261;73.725.707;220.828.243;188.182.910;24.261.018;1.326.721;121;4
BANCO CITIBANK S.A.;33479023;CITIBANK - PRUDENCIAL;30403;80192;b1;3;8;SAO PAULO;SP;06/2023;178.821.288;28.980.377;172.976.872;110.916.258;5.844.417;674.867;51;8
