,instituicao,data_base,codigo_bacen,conglomerado,tcb,tc,ti,cidade,uf,ativo_total,captacoes,patrimonio_liquido,lucro_liquido,numero_agencias,numero_postos_atendimento,carteira_credito,passivel_exigivel,Conglomerado Financeiro,Rendas de Operações de Crédito (a1),Rendas de Operações de Arrendamento Mercantil (a2),Rendas de Operações com TVM (a3),Rendas de Operações com Instrumentos Financeiros Derivativos (a4),Resultado de Operações de Câmbio (a5),Rendas de Aplicações Compulsórias (a6),Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6),Despesas de Obrigações por Empréstimos e Repasses (b2),Despesas de Operações de Arrendamento Mercantil (b3),Resultado de Operações de Câmbio (b4),Resultado de Provisão para Créditos de Difícil Liquidação (b5),Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5),Resultado de Intermediação Financeira (c) = (a) + (b),Rendas de Prestação de Serviços (d1),Rendas de Tarifas Bancárias (d2),Despesas de Pessoal (d3),Despesas Administrativas (d4),Despesas Tributárias (d5),Resultado de Participações (d6),Outras Receitas Operacionais (d7),Outras Despesas Operacionais (d8),Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8),Resultado Operacional (e) = (c) + (d),Resultado Não Operacional (f),"Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f)",Imposto de Renda e Contribuição Social (h),Participação nos Lucros (i),Lucro Líquido (j) = (g) + (h) + (i),Rendas de Títulos e Valores Mobiliários (b),Rendas de Operações de Crédito (c),Resultado com Perda Esperada (f),Despesa de Juros com Captações (g1),Resultado com Derivativos (i),resultado_intermediacao,Rendas de Tarifas Bancárias (m),Outras Rendas de Prestação de Serviços (n),Despesas de Pessoal (o),Despesas Administrativas (p),Despesas Tributárias (s),Resultado de Participações (t),Outras Receitas (u),Outras Despesas (v),outras_receitas_despesas,resultado_antes_impostos,impostos_ir_csll,participacoes_lucro,Despesa_Captacao_Total,cidade_bas,indice_basileia
150406,BANCO DO BRASIL S.A.,2021-06-01,0,BB - PRUDENCIAL,b1,1,1,BRASILIA,DF,1778044209.0,1433834478.0,135443994.0,9724433.0,3980,722,674792980.0,1642600215.0,49906.0,34247838.0,0.0,9788570.0,-492356.0,0.0,691976.0,44236028.0,-2400288.0,0.0,-474353.0,-7419730.0,-25443270.0,18792758.0,5023927.0,4142612.0,-10715607.0,-5169776.0,-2020961.0,3617908.0,5372192.0,-8470641.0,-8220346.0,10572412.0,-40772.0,10531640.0,441212.0,-1248419.0,9724433.0,9788570.0,34247838.0,-7419730.0,-15148899.0,-492356.0,18792758.0,4142612.0,5023927.0,-10715607.0,-5169776.0,-2020961.0,3617908.0,5372192.0,-8470641.0,-8220346.0,10531640.0,441212.0,-1248419.0,-15148899.0,BRASILIA,19.65
150407,CAIXA ECONOMICA FEDERAL,2021-06-01,360305,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,b1,1,6,BRASILIA,DF,1460364090.0,1202651644.0,73905265.0,10226957.0,3373,843,816250696.0,1386458825.0,nan,34186995.0,0.0,3066651.0,2726581.0,0.0,1990385.0,41970611.0,-9827164.0,0.0,-41942.0,-5132380.0,-24545876.0,17424735.0,8375512.0,2859044.0,-10754529.0,-4828125.0,-1746305.0,4349313.0,3088174.0,-9722360.0,-8379275.0,9045460.0,3170975.0,12216436.0,-444873.0,-1544605.0,10226957.0,3066651.0,34186995.0,-5132380.0,-9544390.0,2726581.0,17424735.0,2859044.0,8375512.0,-10754529.0,-4828125.0,-1746305.0,4349313.0,3088174.0,-9722360.0,-8379275.0,12216436.0,-444873.0,-1544605.0,-9544390.0,BRASILIA,20.09
150408,BANCO BRADESCO S.A.,2021-06-01,60746948,BRADESCO - PRUDENCIAL,b1,2,8,OSASCO,SP,1399819336.0,1051513962.0,146488157.0,12127062.0,3246,1394,455791149.0,1253331179.0,10045.0,29449211.0,1973.0,11905375.0,1911829.0,0.0,937998.0,44206386.0,-1447689.0,-1921.0,-347162.0,-6494890.0,-22005050.0,22201336.0,5018836.0,4833519.0,-7918537.0,-9151719.0,-2253214.0,3909013.0,5927847.0,-7057904.0,-6692159.0,15509177.0,-96262.0,15412915.0,-3285854.0,0.0,12127062.0,11905375.0,29449211.0,-6494890.0,-13713389.0,1911829.0,22201336.0,4833519.0,5018836.0,-7918537.0,-9151719.0,-2253214.0,3909013.0,5927847.0,-7057904.0,-6692159.0,15412915.0,-3285854.0,0.0,-13713389.0,OSASCO,15.95
150409,ITAÚ UNIBANCO S.A.,2021-06-01,60701190,ITAU - PRUDENCIAL,b1,2,8,SAO PAULO,SP,1337392389.0,1029481756.0,109430514.0,10078825.0,2864,872,328969900.0,1227961874.0,10069.0,22048770.0,29.0,10697261.0,1598182.0,0.0,1065888.0,35410131.0,-1294248.0,-110.0,-30935.0,-4387975.0,-17017832.0,18392298.0,5674059.0,3957214.0,-5570492.0,-6717563.0,-2063142.0,3099766.0,8728678.0,-7790460.0,-681942.0,17710356.0,94701.0,17805057.0,-3425993.0,-4300240.0,10078825.0,10697261.0,22048770.0,-4387975.0,-11304565.0,1598182.0,18392298.0,3957214.0,5674059.0,-5570492.0,-6717563.0,-2063142.0,3099766.0,8728678.0,-7790460.0,-681942.0,17805057.0,-3425993.0,-4300240.0,-11304565.0,SAO PAULO,14.93
150410,BANCO SANTANDER (BRASIL) S.A.,2021-06-01,90400888,SANTANDER - PRUDENCIAL,b1,3,8,SAO PAULO,SP,893246583.0,668955935.0,84538091.0,7095077.0,2625,1940,309902536.0,808708493.0,30379.0,19168925.0,101.0,7423940.0,3330576.0,0.0,1880115.0,31803657.0,-964513.0,-101.0,-706069.0,-6032772.0,-15499119.0,16304538.0,5209024.0,2273844.0,-2965322.0,-5974087.0,-1835595.0,1628559.0,6807667.0,-9224151.0,-4080060.0,12224478.0,44934.0,12269412.0,-4316203.0,-858133.0,7095077.0,7423940.0,19168925.0,-6032772.0,-7795664.0,3330576.0,16304538.0,2273844.0,5209024.0,-2965322.0,-5974087.0,-1835595.0,1628559.0,6807667.0,-9224151.0,-4080060.0,12269412.0,-4316203.0,-858133.0,-7795664.0,SAO PAULO,14.71
150411,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,2021-06-01,33657248,BNDES - PRUDENCIAL,b4,1,4,RIO DE JANEIRO,RJ,756054417.0,254797727.0,122306036.0,15116080.0,5,0,267063554.0,633748381.0,nan,17099268.0,0.0,6437535.0,359752.0,0.0,0.0,23896555.0,-12547797.0,0.0,-5270.0,-550119.0,-14408782.0,9487773.0,219091.0,0.0,-602649.0,-114367.0,-666876.0,10563054.0,1163384.0,-723499.0,9838138.0,19325911.0,2092.0,19328003.0,-4211923.0,0.0,15116080.0,6437535.0,17099268.0,-550119.0,-1305595.0,359752.0,9487773.0,0.0,219091.0,-602649.0,-114367.0,-666876.0,10563054.0,1163384.0,-723499.0,9838138.0,19328003.0,-4211923.0,0.0,-1305595.0,RIO DE JANEIRO,38.51
150412,BANCO BTG PACTUAL S.A.,2021-06-01,30306294,BTG PACTUAL - PRUDENCIAL,b1,2,8,RIO DE JANEIRO,RJ,255745873.0,162275081.0,35043567.0,3175632.0,17,0,38971098.0,220702306.0,49944.0,1074351.0,0.0,5578148.0,-1247509.0,542455.0,76019.0,6023464.0,-1155835.0,0.0,0.0,525133.0,-2965715.0,3057749.0,1472018.0,43938.0,-285356.0,-760432.0,-173048.0,1401687.0,1673108.0,-950786.0,2421128.0,5478877.0,64281.0,5543159.0,-1171979.0,-1195547.0,3175632.0,5578148.0,1074351.0,525133.0,-2335014.0,-1247509.0,3057749.0,43938.0,1472018.0,-285356.0,-760432.0,-173048.0,1401687.0,1673108.0,-950786.0,2421128.0,5543159.0,-1171979.0,-1195547.0,-2335014.0,RIO DE JANEIRO,16.75
150413,BANCO SAFRA S.A.,2021-06-01,58160789,SAFRA - PRUDENCIAL,b1,2,8,SAO PAULO,SP,210977544.0,170284457.0,14575830.0,1128158.0,114,4,74261925.0,196401715.0,10083.0,3295589.0,5488.0,1019751.0,1445399.0,0.0,123855.0,5890083.0,-118175.0,-5395.0,-119638.0,-471145.0,-3335974.0,2554108.0,753870.0,144458.0,-1063066.0,-1024801.0,-240660.0,327132.0,1194072.0,-1128576.0,-1037570.0,1516539.0,41538.0,1558076.0,-429918.0,0.0,1128158.0,1019751.0,3295589.0,-471145.0,-2621623.0,1445399.0,2554108.0,144458.0,753870.0,-1063066.0,-1024801.0,-240660.0,327132.0,1194072.0,-1128576.0,-1037570.0,1558076.0,-429918.0,0.0,-2621623.0,SAO PAULO,14.37
150414,ITAÚ UNIBANCO HOLDING S.A.,2021-06-01,60872504,ITAU - PRUDENCIAL,b1,2,8,SAO PAULO,SP,147742231.0,0.0,136041810.0,12792551.0,2,0,0.0,11700421.0,10069.0,0.0,0.0,6481.0,898475.0,0.0,0.0,904956.0,0.0,0.0,0.0,0.0,-140922.0,764034.0,0.0,0.0,-119151.0,-36900.0,-184170.0,12431142.0,615617.0,-49178.0,12657359.0,13421393.0,8482.0,13429875.0,-610122.0,-27202.0,12792551.0,6481.0,0.0,0.0,-140922.0,898475.0,764034.0,0.0,0.0,-119151.0,-36900.0,-184170.0,12431142.0,615617.0,-49178.0,12657359.0,13429875.0,-610122.0,-27202.0,-140922.0,SAO PAULO,14.93
150415,BANCO ITAUCARD S.A.,2021-06-01,17192451,ITAU - PRUDENCIAL,b2,2,8,SAO PAULO,SP,128409044.0,60792849.0,10672857.0,1303738.0,2,0,97321701.0,117736187.0,10069.0,5424146.0,28893.0,234914.0,-1160.0,0.0,0.0,5686794.0,-152321.0,-36790.0,-3289.0,-2431607.0,-3381359.0,2305435.0,2623831.0,1051782.0,-62752.0,-2455653.0,-507310.0,235239.0,861117.0,-2624813.0,-878559.0,1426876.0,29234.0,1456110.0,-149425.0,-2948.0,1303738.0,234914.0,5424146.0,-2431607.0,-757352.0,-1160.0,2305435.0,1051782.0,2623831.0,-62752.0,-2455653.0,-507310.0,235239.0,861117.0,-2624813.0,-878559.0,1456110.0,-149425.0,-2948.0,-757352.0,SAO PAULO,14.93
