Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB - PRUDENCIAL;49906;80329;b1;1;1;BRASILIA;DF;06/2025;2.340.882.371;1.065.190.238;557.184.810;2.166.148.035;1.876.009.512;174.734.336;9.884.249;4.000;475
CAIXA ECONOMICA FEDERAL;360305;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;b1;1;6;BRASILIA;DF;06/2025;2.101.653.665;1.223.060.644;377.121.720;1.992.492.768;1.821.232.205;109.160.897;8.718.664;3.252;983
ITAÚ UNIBANCO S.A.;60701190;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;06/2025;1.985.894.734;607.899.162;527.719.384;1.823.592.449;1.695.276.125;162.302.285;17.351.336;1.898;1.156
BANCO BRADESCO S.A.;60746948;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;06/2025;1.693.382.247;670.320.518;249.658.117;1.526.070.284;1.327.972.002;167.311.963;11.868.917;2.242;837
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER - PRUDENCIAL;30379;80185;b1;3;8;SAO PAULO;SP;06/2025;1.154.658.400;352.005.955;231.763.419;1.062.816.089;910.710.033;91.842.311;7.351.868;2.305;1.657
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;BNDES - PRUDENCIAL;;81847;b4;1;4;RIO DE JANEIRO;RJ;06/2025;888.033.105;331.867.450;145.575.158;722.717.923;590.367.676;165.315.182;12.369.044;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL - PRUDENCIAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;06/2025;494.797.418;69.752.124;173.813.424;431.094.096;352.184.580;63.703.322;7.219.145;26;0
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU - PRUDENCIAL;10069;80099;b2;2;8;SAO PAULO;SP;06/2025;460.740.425;164.703.165;28.135.990;259.926.511;99.226.158;200.813.914;22.251.392;2;7
BANCO SAFRA S.A.;58160789;SAFRA - PRUDENCIAL;10083;80109;b1;2;8;SAO PAULO;SP;06/2025;246.782.674;97.469.155;55.133.453;227.630.802;188.670.291;19.151.871;2.145.588;131;3
BANCO COOPERATIVO SICREDI S.A.;1181521;BCO COOPERATIVO SICREDI - PRUDENCIAL;;80745;b1;2;11;PORTO ALEGRE;RS;06/2025;211.142.137;42.113.844;53.078.760;205.680.047;182.777.377;5.462.089;134.305;6;0
