,conglomerado,cidade,data_base,indice_basileia
0,ITAU - PRUDENCIAL,SAO PAULO,2023-03-01,14.98
1,BB - PRUDENCIAL,BRASILIA,2023-03-01,16.19
2,BRADESCO - PRUDENCIAL,OSASCO,2023-03-01,15.09
3,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,BRASILIA,2023-03-01,17.63
4,SANTANDER - PRUDENCIAL,SAO PAULO,2023-03-01,13.81
5,BNDES - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,33.07
6,BTG PACTUAL - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,15.52
7,SAFRA - PRUDENCIAL,SAO PAULO,2023-03-01,18.41
8,CITIBANK - PRUDENCIAL,SAO PAULO,2023-03-01,14.08
9,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,FORTALEZA,2023-03-01,13.37
10,VOTORANTIM - PRUDENCIAL,SAO PAULO,2023-03-01,14.18
11,JP MORGAN CHASE - PRUDENCIAL,SAO PAULO,2023-03-01,15.07
12,BANRISUL - PRUDENCIAL,PORTO ALEGRE,2023-03-01,17.13
13,BCO DAYCOVAL S.A - PRUDENCIAL,SAO PAULO,2023-03-01,13.46
14,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,16.07
15,ABC-BRASIL - PRUDENCIAL,SAO PAULO,2023-03-01,14.82
16,XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,20.34
17,BCO DA AMAZONIA S.A. - PRUDENCIAL,BELEM,2023-03-01,12.83
18,BNP PARIBAS - PRUDENCIAL,SAO PAULO,2023-03-01,16.58
19,NUBANK,SAO PAULO,2023-03-01,18.67
20,VOLKSWAGEN - PRUDENCIAL,SAO PAULO,2023-03-01,11.63
21,BCO CLASSICO S.A. - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,43.63
22,BANCO C6 - PRUDENCIAL,SAO PAULO,2023-03-01,11.92
23,BCO COOPERATIVO SICREDI - PRUDENCIAL,PORTO ALEGRE,2023-03-01,15.43
24,INTER - PRUDENCIAL,BELO HORIZONTE,2023-03-01,23.0
25,CREDIT SUISSE - PRUDENCIAL,SAO PAULO,2023-03-01,24.19
26,BRB - PRUDENCIAL,BRASILIA,2023-03-01,14.39
27,BMG - PRUDENCIAL,SAO PAULO,2023-03-01,12.81
28,BOFA MERRILL LYNCH - PRUDENCIAL,SAO PAULO,2023-03-01,20.42
29,BANCOOB - PRUDENCIAL,BRASILIA,2023-03-01,14.31
30,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,CURITIBA,2023-03-01,11.76
31,MORGAN STANLEY - PRUDENCIAL,SAO PAULO,2023-03-01,22.75
32,ORIGINAL - PRUDENCIAL,SAO PAULO,2023-03-01,12.78
33,MERCEDES-BENZ - PRUDENCIAL,SAO BERNARDO DO CAMPO,2023-03-01,11.85
34,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,PORTO ALEGRE,2023-03-01,20.25
35,ALFA - PRUDENCIAL,SAO PAULO,2023-03-01,15.66
36,JOHN DEERE - PRUDENCIAL,INDAIATUBA,2023-03-01,12.1
37,PORTO SEGURO - PRUDENCIAL,SAO PAULO,2023-03-01,13.1
38,BCO CSF S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,16.4
39,GOLDMAN SACHS - PRUDENCIAL,SAO PAULO,2023-03-01,20.22
40,VOLVO - PRUDENCIAL,CURITIBA,2023-03-01,16.67
41,SCOTIABANK BRASIL - PRUDENCIAL,SAO PAULO,2023-03-01,24.97
42,BANESTES - PRUDENCIAL,VITORIA,2023-03-01,14.83
43,CCB - PRUDENCIAL,SAO PAULO,2023-03-01,15.56
44,BOCOM - PRUDENCIAL,SALVADOR,2023-03-01,14.49
45,BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL,PORTO ALEGRE,2023-03-01,12.68
46,BANCO MASTER - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,11.56
47,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,BLUMENAU,2023-03-01,22.57
48,BCO DO EST. DO PA S.A. - PRUDENCIAL,BELEM,2023-03-01,15.77
49,CREDIT AGRICOLE - PRUDENCIAL,SAO PAULO,2023-03-01,24.62
50,BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,21.59
51,MERCANTIL DO BRASIL - PRUDENCIAL,BELO HORIZONTE,2023-03-01,16.42
52,SCANIA - PRUDENCIAL,SAO BERNARDO DO CAMPO,2023-03-01,13.56
53,COOPERATIVA DE CREDITO CREDICITRUS,BEBEDOURO,2023-03-01,26.65
54,CREFISA S.A. CFI - PRUDENCIAL,SAO PAULO,2023-03-01,70.42
55,DEUTSCHE - PRUDENCIAL,SAO PAULO,2023-03-01,29.48
56,PINE - PRUDENCIAL,SAO PAULO,2023-03-01,11.12
57,GM - PRUDENCIAL,SAO PAULO,2023-03-01,33.35
58,AGIBANK - PRUDENCIAL,CAMPINAS,2023-03-01,14.64
59,SICOOB COCRED COOPERATIVA DE CRÉDITO,SERTAOZINHO,2023-03-01,14.25
60,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,12.72
61,SOFISA - PRUDENCIAL,SAO PAULO,2023-03-01,14.09
62,BCO FIBRA S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,11.34
63,BANCO STELLANTIS - PRUDENCIAL,BETIM,2023-03-01,17.33
64,BANCO HSBC - PRUDENCIAL,SAO PAULO,2023-03-01,20.53
